ts,label,id,confidence,startX,startY,endX,endY
1538161311,None,videostart,0,0,0,0,0
1538161311,face,0,0.57,218,-1,288,105
1538161312,face,0,0.94,222,3,285,94
1538161312,face,0,0.94,222,5,286,94
1538161312,face,0,0.93,222,5,286,93
1538161312,face,0,0.93,222,4,285,94
1538161312,face,0,0.92,222,4,286,94
1538161312,face,0,0.92,223,5,286,94
1538161312,face,0,0.93,223,5,286,93
1538161312,face,0,0.92,223,4,286,94
1538161312,face,0,0.90,223,5,286,93
1538161312,face,0,0.90,223,5,287,93
1538161312,face,0,0.86,223,5,286,94
1538161312,face,0,0.87,223,4,287,94
1538161312,face,0,0.88,223,4,287,94
1538161312,face,0,0.87,224,4,288,93
1538161312,face,0,0.85,224,4,287,93
1538161313,face,0,0.85,224,3,288,94
1538161313,face,0,0.85,224,4,287,94
1538161313,face,0,0.85,224,4,287,94
1538161313,face,0,0.79,223,4,286,95
1538161313,face,0,0.72,223,4,286,96
1538161313,face,0,0.64,223,4,286,97
1538161313,face,0,0.68,223,4,286,96
1538161313,face,0,0.71,224,4,287,96
1538161313,face,0,0.73,224,4,287,97
1538161313,face,0,0.75,224,4,287,97
1538161313,face,0,0.82,224,5,287,96
1538161313,face,0,0.86,224,5,286,96
1538161313,face,0,0.89,224,5,286,95
1538161313,face,0,0.88,223,5,286,96
1538161313,face,0,0.86,223,5,286,97
1538161313,face,0,0.89,223,5,286,96
1538161313,face,0,0.91,223,5,286,97
1538161313,face,0,0.88,223,4,286,97
1538161313,face,0,0.92,223,5,286,96
1538161313,face,0,0.93,223,5,286,96
1538161313,face,0,0.94,223,4,286,96
1538161313,face,0,0.95,223,4,285,96
1538161313,face,0,0.95,222,3,285,96
1538161314,face,0,0.96,223,4,285,96
1538161314,face,0,0.97,222,4,285,95
1538161314,face,0,0.97,222,4,285,96
1538161314,face,0,0.98,222,4,284,96
1538161314,face,0,0.98,222,4,284,96
1538161314,face,0,0.98,221,4,284,96
1538161314,face,0,0.98,221,4,284,96
1538161314,face,0,0.98,221,4,284,96
1538161314,face,0,0.98,221,4,284,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.97,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.98,221,4,283,96
1538161314,face,0,0.97,221,4,283,97
1538161314,face,0,0.97,222,4,283,97
1538161314,face,0,0.97,222,4,284,97
1538161314,face,0,0.97,222,4,284,97
1538161314,face,0,0.94,222,4,283,99
1538161315,face,0,0.94,222,4,284,100
1538161315,face,0,0.95,221,4,284,99
1538161315,face,0,0.96,220,5,282,99
1538161315,face,0,0.94,218,7,279,101
1538161315,face,0,0.86,205,18,273,99
1538161315,face,0,0.74,201,23,265,103
1538161315,face,0,0.82,193,27,258,103
1538161316,face,0,0.58,163,-2,247,77
1538161316,face,0,0.57,163,-2,249,77
1538161316,face,0,0.54,171,-1,262,79
1538161316,face,0,0.55,171,-2,261,80
1538161316,face,0,0.51,170,-3,263,78
1538161317,face,0,0.56,157,0,253,68
1538161317,face,0,0.63,155,0,247,63
1538161318,face,0,0.51,137,0,232,69
1538161319,face,0,0.71,155,20,220,110
1538161319,face,0,0.88,157,23,221,111
1538161319,face,0,0.95,157,25,220,110
1538161319,face,0,0.95,158,25,220,111
1538161319,face,0,0.98,159,25,219,109
1538161319,face,0,0.99,159,25,219,106
1538161319,face,0,0.99,159,25,218,106
1538161319,face,0,0.99,158,25,218,105
1538161320,face,0,0.99,158,25,218,105
1538161320,face,0,1.00,159,25,217,105
1538161320,face,0,1.00,159,24,218,105
1538161320,face,0,0.99,158,23,217,105
1538161320,face,0,0.99,158,23,218,106
1538161320,face,0,0.99,158,23,218,105
1538161320,face,0,0.99,157,21,218,105
1538161320,face,0,0.99,157,22,218,106
1538161320,face,0,0.98,156,21,218,106
1538161320,face,0,0.99,157,21,218,106
1538161320,face,0,0.97,157,21,218,107
1538161320,face,0,0.95,157,22,219,108
1538161320,face,0,0.95,158,22,220,107
1538161320,face,0,0.94,159,22,220,108
1538161320,face,0,0.94,159,23,221,108
1538161320,face,0,0.92,159,22,221,107
1538161320,face,0,0.89,159,22,222,107
1538161320,face,0,0.86,159,22,222,107
